Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,mean,median
ratio_dep_chan_owner,1,XGBoost,51.959712982177734,1.5629093647003174,0.0180326625704765,0.0052455686964094,0.0052025974728167,0.0106821348890662,-0.0012917557032778,0.0027992301620543,-0.0517304800450801,-0.0783935114741325,5.343316879344639,0.00522408308461305
pctg_cross_project_changes_owner,2,XGBoost,0.0,0.0,-0.0343200825154781,0.0008955185767263,-0.0402894131839275,-0.1611426770687103,-0.0363171808421611,-0.0520840287208557,-0.2462019175291061,-0.0087064215913414,-0.0578166202874854,-0.0353186316788196
cross_project_changes_owner,3,XGBoost,0.0,0.9564663767814636,-0.0772723108530044,-0.0175764393061399,-0.0088091185316443,0.0109200114384293,-0.1407394409179687,-0.0549941062927246,0.0870454087853431,0.2242602407932281,0.0979300621896982,-0.00440455926582215
max_num_mod_file_dep_cha,3,XGBoost,0.0,0.9564663767814636,0.0072563542053103,0.0055659059435129,0.0092603266239166,-0.1611426770687103,0.0120307775214314,0.0116858398541808,0.1086400896310806,0.6314601898193359,0.1581223183311522,0.0104730832390487
project_changes_owner,4,XGBoost,0.2224003225564956,-0.8450809121131897,-0.0599300004541873,-0.0861822143197059,-0.0944759771227836,-0.3439792096614837,-0.143111765384674,0.0116858398541808,0.1086400896310806,0.6314601898193359,-0.0598573637194931,-0.0730561073869466
is_corrective,4,XGBoost,0.0,0.3860474824905395,-0.011071871034801,-0.0033919382840394,-0.0026263119652867,-0.0251968596130609,-0.0061556901782751,-0.0084571009501814,-0.112429566681385,-0.1680310815572738,0.0048687062226235,-0.0073063955642282494
is_preventive,5,XGBoost,0.0,0.2505742907524109,-0.0050358064472675,-0.0004246191238053,-0.0010498956544324,0.0005381981027312,-0.0006971584516577,-0.0025295091327279,0.0462632365524768,-0.0075011299923062,0.0280137606605421,-0.0005608887877315
description_length,5,XGBoost,0.8458688259124756,0.4920165836811065,0.0088747171685099,-0.0022097353357821,-0.0205587428063154,-0.0034830754157155,0.008590935729444,0.0067869126796722,0.0314837470650672,0.1023730114102363,0.1469743180088699,0.008732826448976948
whole_within_project_changes,5,XGBoost,3.787425756454468,-0.4530050754547119,0.0075952424667775,-0.0116598065942525,0.0006704305997118,0.0050701280124485,-0.0042083151638507,-0.004818333312869,-0.0386820249259471,0.0002800099900923,0.3288668012071866,-0.0019641525868792
is_merge,5,XGBoost,0.0,0.0,0.015933645889163,-0.0032683224417269,-0.0015790779143571,0.0125350961461663,0.0096992570906877,0.0,-0.0138246407732367,0.0600428953766822,0.0079538853373378,0.0
projects_contributed_owner,6,XGBoost,0.0,0.3507892787456512,0.005760433152318,0.0071650547906756,0.0058123548515141,0.0234515499323606,0.0008256355649791,-0.0068616629578173,-0.092357762157917,-0.0664106681942939,0.022817421372747,0.00329303435864855
pctg_cross_project_changes,6,XGBoost,0.0,0.5502446889877319,0.0047220140695571,0.0120271490886807,0.0120816640555858,0.0241256169974803,0.0224006026983261,0.0163714122027158,0.0210342593491077,-0.0383016094565391,0.0624705797992646,0.014226538129150802
num_file_types,7,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251707416027784,0.0,0.0025170741602778,0.0
deletions,7,XGBoost,0.3251177370548248,-0.3792259097099304,-0.0243603400886058,-0.0002036697551375,-0.0066261510364711,-0.0072370897978544,0.0263727959245443,0.0198934897780418,0.1544685959815979,0.4376877248287201,0.0545887183179729,0.00984491001145215
is_non_functional,7,XGBoost,0.0,-0.1127531081438064,-0.030365414917469,-0.0159432142972946,-0.00220268801786,-0.0166056882590055,0.0022530367132276,-0.0073942262679338,-0.0708548203110694,-0.081328198313713,-0.0335194321814924,-0.01627445127815005
last_mth_dep_proj_nbr,7,XGBoost,0.0,-0.1412196606397628,-0.0052655600011348,0.0023340759798884,-0.002651295159012,-0.0327010862529277,0.0038444499950855,0.002579788910225,-0.0065161800011992,0.1706359982490539,-0.0008959468919783,-0.001325647579506
is_refactoring,8,XGBoost,0.0,-0.9830872416496276,-0.0110722966492176,-0.0014873752370476,-0.0050245095044374,-0.0077849184162914,-0.0036156785208731,-0.0058991648256778,-0.0420195721089839,-0.1024108901619911,-0.1162401647074148,-0.0068420416209846
insertions,9,XGBoost,0.6551429629325867,0.1989704668521881,-0.0157176237553358,-0.0008071871707215,-0.0079302936792373,-0.0132937505841255,-0.0265407282859087,-0.0042817522771656,0.1026125699281692,0.3239760994911194,0.1212130763451568,-0.0025444697239435502
has_feature_addition,9,XGBoost,0.0,-0.0441736504435539,0.002876327605918,0.0037385574541985,-0.0006744835991412,0.0020504158455878,0.0032008388079702,0.00451196776703,0.0114357257261872,0.0495711602270603,0.0032536859391257,0.0030385832069441
project_age,10,XGBoost,-0.0743931978940963,-0.6623834371566772,-0.0002501709095668,-0.0101703768596053,-0.0024467117618769,-0.0041051255539059,0.0089908260852098,-0.0031097959727048,0.0091035859659314,-0.1189045459032058,-0.0857668949960498,-0.0036074607633053497
num_file_changes,10,XGBoost,0.608129620552063,0.9040762782096864,0.0050051803700625,-0.000521469512023,0.0039180540479719,-0.0036931037902832,-0.0203894488513469,-0.014858515933156,0.1086400896310806,-0.201072096824646,0.1389234587899409,0.0016982922679744498
subject_length,10,XGBoost,-0.1884806156158447,-0.0096703255549073,0.0035237215925008,-0.0075487708672881,-0.0026356882881373,0.0050863833166658,-0.000122901823488,0.0001314212568104,0.0004349533992353,-0.0150480857118964,-0.0214329908296349,-0.0013792950558126499
num_directory_files,10,XGBoost,0.0,-0.3360278904438019,-0.0148421777412295,-0.0051034046337008,-0.0061371349729597,-0.0248326230794191,-0.00152003695257,-0.0976816043257713,-0.2402433007955551,0.0565562397241592,-0.0669831933220848,-0.0104896563570946
min_num_mod_file_dep_cha,10,XGBoost,0.0,0.9564663767814636,0.0072563542053103,0.0055659059435129,0.0092603266239166,-0.1611426770687103,0.0120307775214314,0.0116858398541808,0.1086400896310806,0.6314601898193359,0.1581223183311522,0.0104730832390487
